       0.0000000   1.9133101e-18
      0.50551952   1.9134234e-18
       1.0110390   1.9137543e-18
       1.5165587   1.9143075e-18
       2.0220781   1.9150784e-18
       2.5275976   1.9160721e-18
       3.0331174   1.9172886e-18
       3.5386369   1.9187290e-18
       4.0441561   1.9203883e-18
       4.5496756   1.9222724e-18
       5.0551952   1.9243817e-18
       5.5607147   1.9267123e-18
       6.0662347   1.9292695e-18
       6.5717542   1.9320544e-18
       7.0772738   1.9350681e-18
       7.5827933   1.9383065e-18
       8.0883123   1.9417759e-18
       8.5938323   1.9454773e-18
       9.0993513   1.9494122e-18
       9.6048719   1.9535769e-18
       10.110390   1.9579824e-18
       10.615911   1.9626210e-18
       11.121429   1.9674942e-18
       11.626950   1.9726134e-18
       12.132469   1.9779704e-18
       12.637988   1.9835725e-18
       13.143508   1.9894211e-18
       13.649027   1.9955188e-18
       14.154548   2.0018675e-18
       14.660066   2.0084646e-18
       15.165587   2.0153224e-18
       15.671106   2.0224334e-18
       16.176625   2.0298051e-18
       16.682145   2.0374401e-18
       17.187665   2.0453414e-18
       17.693185   2.0535116e-18
       18.198703   2.0619539e-18
       18.704222   2.0706713e-18
       19.209744   2.0796669e-18
       19.715261   2.0889439e-18
       20.220781   2.0985061e-18
       20.726302   2.1083517e-18
       21.231822   2.1184943e-18
       21.737339   2.1289331e-18
       22.242859   2.1396716e-18
       22.748380   2.1507141e-18
       23.253900   2.1620698e-18
       23.759417   2.1737324e-18
       24.264939   2.1857117e-18
       24.770458   2.1980176e-18
       25.275976   2.2106493e-18
       25.781495   2.2236118e-18
       26.287017   2.2369100e-18
       26.792536   2.2505543e-18
       27.298054   2.2645395e-18
       27.803575   2.2788816e-18
       28.309095   2.2935863e-18
       28.814615   2.3086483e-18
       29.320132   2.3240847e-18
       29.825654   2.3399018e-18
       30.331173   2.3561001e-18
       30.836690   2.3726859e-18
       31.342212   2.3896716e-18
       31.847732   2.4070586e-18
       32.353249   2.4248535e-18
       32.858771   2.4430695e-18
       33.364290   2.4617143e-18
       33.869808   2.4807953e-18
       34.375329   2.5003085e-18
       34.880849   2.5202802e-18
       35.386370   2.5407061e-18
       35.891890   2.5616013e-18
       36.397405   2.5829749e-18
       36.902929   2.6048290e-18
       37.408444   2.6271794e-18
       37.913964   2.6500356e-18
       38.419487   2.6734078e-18
       38.925003   2.6973061e-18
       39.430522   2.7217336e-18
       39.936046   2.7467151e-18
       40.441561   2.7722474e-18
       40.947085   2.7983559e-18
       41.452605   2.8250381e-18
       41.958120   2.8523200e-18
       42.463644   2.8801997e-18
       42.969163   2.9087039e-18
       43.474678   2.9378384e-18
       43.980202   2.9676167e-18
       44.485717   2.9980595e-18
       44.991237   3.0291664e-18
       45.496761   3.0609663e-18
       46.002276   3.0934748e-18
       46.507800   3.1266912e-18
       47.013319   3.1606546e-18
       47.518834   3.1953580e-18
       48.024358   3.2308333e-18
       48.529878   3.2670979e-18
       49.035393   3.3041694e-18
       49.540917   3.3420496e-18
       50.046436   3.3807815e-18
       50.551952   3.4203676e-18
       51.057475   3.4608364e-18
       51.562991   3.5022074e-18
       52.068514   3.5445024e-18
       52.574034   3.5877425e-18
       53.079549   3.6319400e-18
       53.585073   3.6771367e-18
       54.090592   3.7233368e-18
       54.596108   3.7705833e-18
       55.101631   3.8188820e-18
       55.607151   3.8682770e-18
       56.112666   3.9187855e-18
       56.618190   3.9704434e-18
       57.123710   4.0232593e-18
       57.629229   4.0772816e-18
       58.134749   4.1325393e-18
       58.640264   4.1890527e-18
       59.145788   4.2468532e-18
       59.651307   4.3059830e-18
       60.156822   4.3664644e-18
       60.662346   4.4283424e-18
       61.167866   4.4916519e-18
       61.673381   4.5564289e-18
       62.178905   4.6226997e-18
       62.684424   4.6905140e-18
       63.189939   4.7599223e-18
       63.695463   4.8309424e-18
       64.200983   4.9036276e-18
       64.706498   4.9780213e-18
       65.212022   5.0541802e-18
       65.717541   5.1321255e-18
       66.223057   5.2119294e-18
       66.728580   5.2936408e-18
       67.234100   5.3772840e-18
       67.739615   5.4629373e-18
       68.245139   5.5506541e-18
       68.750658   5.6404755e-18
       69.256174   5.7324729e-18
       69.761697   5.8266900e-18
       70.267217   5.9232021e-18
       70.772741   6.0220709e-18
       71.278256   6.1233616e-18
       71.783780   6.2271406e-18
       72.289299   6.3334759e-18
       72.794810   6.4424226e-18
       73.300338   6.5540853e-18
       73.805858   6.6685398e-18
       74.311369   6.7858312e-18
       74.816888   6.9060722e-18
       75.322416   7.0293296e-18
       75.827927   7.1557054e-18
       76.333447   7.2852716e-18
       76.838975   7.4181359e-18
       77.344486   7.5543750e-18
       77.850005   7.6941048e-18
       78.355533   7.8374255e-18
       78.861044   7.9844411e-18
       79.366564   8.1352593e-18
       79.872092   8.2899909e-18
       80.377603   8.4487508e-18
       80.883123   8.6116789e-18
       81.388651   8.7788538e-18
       81.894170   8.9504458e-18
       82.399681   9.1265873e-18
       82.905209   9.3073668e-18
       83.410729   9.4929935e-18
       83.916240   9.6835660e-18
       84.421768   9.8792571e-18
       84.927287   1.0080223e-17
       85.432798   1.0286598e-17
       85.938326   1.0498598e-17
       86.443846   1.0716344e-17
       86.949357   1.0940065e-17
       87.454885   1.1169919e-17
       87.960404   1.1406123e-17
       88.465915   1.1648847e-17
       88.971435   1.1898294e-17
       89.476963   1.2154704e-17
       89.982474   1.2418264e-17
       90.487993   1.2689263e-17
       90.993521   1.2967874e-17
       91.499041   1.3254370e-17
       92.004552   1.3549003e-17
       92.510080   1.3852032e-17
       93.015599   1.4163762e-17
       93.521110   1.4484440e-17
       94.026638   1.4814355e-17
       94.532158   1.5153841e-17
       95.037669   1.5503176e-17
       95.543197   1.5862719e-17
       96.048717   1.6232804e-17
       96.554228   1.6613741e-17
       97.059756   1.7005968e-17
       97.565275   1.7409821e-17
       98.070786   1.7825684e-17
       98.576314   1.8253962e-17
       99.081834   1.8695069e-17
       99.587345   1.9149532e-17
       100.09287   1.9617659e-17
       100.59839   2.0100059e-17
       101.10390   2.0597118e-17
       101.60943   2.1109389e-17
       102.11495   2.1637395e-17
       102.62047   2.2181675e-17
       103.12598   2.2742848e-17
       103.63151   2.3321443e-17
       104.13703   2.3918066e-17
       104.64254   2.4533408e-17
       105.14807   2.5168122e-17
       105.65359   2.5822828e-17
       106.15910   2.6498297e-17
       106.66463   2.7195331e-17
       107.17015   2.7914560e-17
       107.67566   2.8656918e-17
       108.18118   2.9423158e-17
       108.68670   3.0214214e-17
       109.19222   3.1030906e-17
       109.69774   3.1874240e-17
       110.20326   3.2745185e-17
       110.70877   3.3644748e-17
       111.21430   3.4573976e-17
       111.71982   3.5533959e-17
       112.22533   3.6525828e-17
       112.73086   3.7550857e-17
       113.23638   3.8610273e-17
